latitude,longitude,free_bikes,empty_slots
-36.853235,174.770765,0,0.0
-36.854561,174.763019,0,2.0
-36.853544,174.757354,0,3.0
-36.846182,174.76142,0,11.0
-36.84771,174.767026,0,6.0
-36.858257,174.74876,0,6.0
-36.856424,174.746518,0,10.0
-36.852501,174.766613,0,12.0
-36.858008,174.756534,0,2.0
-36.857991,174.761029,0,2.0
-36.855107,174.758942,0,4.0
-36.858197,174.76362,0,2.0
-36.846762,174.767225,0,5.0
-36.847848,174.758347,0,2.0
-36.850067,174.761866,0,6.0
-36.857021,174.761957,0,2.0
-36.852338,174.782503,0,2.0
-36.848377,174.770012,0,0.0
-36.852744,174.767246,0,0.0
-36.854164,174.767838,0,0.0
-36.861077,174.768936,0,2.0
-36.865126,174.776733,0,2.0
-36.85427,174.779804,0,3.0
-36.853153,174.774891,0,2.0
-36.84049,174.755166,0,6.0
-36.841894,174.756045,0,3.0
-36.848234,174.756662,0,4.0
-36.845337,174.770755,0,0.0
